year,transported,tag_id,esu,migration_year,bon,tda,jda,mcn,ice,lmo,lgo,lgr
2020,T,3DD.0077BC82FD,SR_Sthd,2018,1,1,1,1,1,1,1,1
2010,T,3D9.1C2C4BB1C9,SR_Sthd,2008,1,0,0,1,1,0,0,1
2012,,3D9.1C2D17EADA,SR_Sthd,2010,1,0,0,0,0,0,0,0
2017,,3DD.0077399714,SR_Sthd,2014,1,1,0,1,1,1,1,1
2023,,3DD.0077D6187A,SR_Sthd,2021,1,1,1,1,1,1,0,0
2016,T,384.3B23AB60A9,SR_Sthd,2014,1,1,0,0,0,0,0,0
2011,,3D9.1C2C9E472E,SR_Sthd,2008,1,0,0,1,1,0,0,1
2002,T,3D9.1BF0E2C69B,SR_Sthd,2000,1,0,0,1,0,0,0,1
2015,,3D9.1C2D9BD666,SR_Sthd,2013,1,1,0,1,1,1,1,1
2011,,3D9.1C2CF75CBD,SR_Sthd,2009,1,0,0,1,1,0,0,1
2014,T,3D9.1C2DCE18B1,SR_Sthd,2012,1,1,0,1,0,0,0,0
2011,,3D9.1C2CE4A637,SR_Sthd,2009,1,0,0,1,1,0,0,1
2010,T,3D9.1BF26C1B9D,SR_Sthd,2007,1,0,0,1,1,0,0,1
2021,,3DD.003C02D48F,SR_Sthd,2019,1,0,0,0,0,0,0,0
2019,T,3DD.003BD4AB5A,SR_Sthd,2017,1,1,1,1,1,1,1,1
2021,,3DD.003C02DC5B,SR_Sthd,2019,1,0,0,0,0,0,0,0
2011,,3D9.1C2CF63B07,SR_Sthd,2009,1,0,0,1,1,0,0,1
2024,,3DD.003D50CBB7,SR_Sthd,2022,1,1,1,1,1,1,1,1
